Character	TypeF	TokenF	LnTokenF	
a	130061	1998536.000000	14.507925	
'	4185	172396.000000	12.057549	
b	14660	165865.000000	12.018929	
d	25748	594549.000000	13.295558	
i	126433	1849036.000000	14.430175	
n	70775	1217874.000000	14.012617	
o	93937	1618311.000000	14.296894	
m	30640	446045.000000	13.008175	
s	57329	881036.000000	13.688854	
t	83842	1151799.000000	13.956836	
u	23036	513292.000000	13.148600	
e	95749	1898584.000000	14.456619	
c	52556	751993.000000	13.530482	
h	5516	200407.000000	12.208106	
g	23616	286062.000000	12.563964	
l	44530	943403.000000	13.757249	
r	81370	1082514.000000	13.894797	
v	19227	294346.000000	12.592511	
z	12925	148678.000000	11.909538	
f	14176	187360.000000	12.140787	
p	27941	485759.000000	13.093468	
q	1628	72567.000000	11.192266	
x	167	2555.000000	7.845808	
k	434	1840.000000	7.517521	
y	168	1293.000000	7.164720	
j	125	932.000000	6.837333	
w	37	234.000000	5.455321	
